City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
5,Saint-Philippe,RE,77.0,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
6,Rikitea,PF,78.82,clear sky,-23.1203,-134.9692,Pension Maro'i
7,Mar Del Plata,AR,73.4,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
8,Kapaa,US,75.2,light rain,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
12,Bambous Virieux,MU,78.8,broken clouds,-20.3428,57.7575,Casa Tia Villa
13,Sinnamary,GF,77.81,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
15,Mancora,PE,84.2,light rain,-4.1078,-81.0475,Máncora Marina Hotel
23,Blackwater,AU,79.11,overcast clouds,-23.5833,148.8833,Blackwater Motor Inn
25,Padang,ID,73.4,scattered clouds,-0.9492,100.3543,Mercure Padang
26,Atuona,PF,79.93,scattered clouds,-9.8,-139.0333,Villa Enata
30,Illela,NG,79.68,overcast clouds,13.7292,5.2975,
31,Shirgaon,IN,75.04,clear sky,19.7,72.7,Samarth Krupa Agro Tourism Farm
34,Alta Floresta,BR,70.32,light rain,-9.8756,-56.0861,Floresta Amazonica Hotel
35,Machali,CL,73.4,clear sky,-34.1833,-70.6667,Mining House
36,Bathsheba,BB,78.8,few clouds,13.2167,-59.5167,Atlantis Hotel
37,Xuddur,SO,70.81,clear sky,4.1213,43.8894,Banjanay Hotel
42,Mahebourg,MU,78.8,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
47,East London,ZA,74.71,clear sky,-33.0153,27.9116,Tu Casa
48,Sao Joao Da Barra,BR,76.33,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
51,Kirakira,SB,83.12,overcast clouds,-10.4544,161.9205,SanBiz Lodge
52,Georgetown,MY,80.6,few clouds,5.4112,100.3354,Cititel Penang
61,Matara,LK,76.32,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
63,Trairi,BR,79.02,overcast clouds,-3.2778,-39.2689,janelas do mar
64,Hithadhoo,MV,78.35,overcast clouds,-0.6,73.0833,Scoop Guest House
66,Carnarvon,AU,73.4,broken clouds,-24.8667,113.6333,Hospitality Carnarvon
68,Aripuana,BR,71.4,light rain,-9.1667,-60.6333,
74,Oranjestad,AW,80.6,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
78,Labuhan,ID,77.32,broken clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
79,Busselton,AU,71.01,light rain,-33.65,115.3333,Observatory Guest House
80,Teahupoo,PF,87.8,scattered clouds,-17.8333,-149.2667,Vanira Lodge
82,Mbini,GQ,79.72,broken clouds,1.574,9.6134,
85,Freetown,SL,78.82,scattered clouds,8.484,-13.2299,The Country Lodge Hotel
91,Grand Gaube,MU,77.0,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
93,Hambantota,LK,75.97,overcast clouds,6.1241,81.1185,Bungalow 63
94,Sulangan,PH,80.6,overcast clouds,11.1373,123.7228,Maia's Beach Resort
95,Miri,MY,77.0,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
100,Barinas,VE,89.6,overcast clouds,8.6226,-70.2075,Hotel Mastranto Suite
103,Weston,US,73.0,overcast clouds,26.1004,-80.3998,Courtyard by Marriott Fort Lauderdale Weston
105,Avarua,CK,82.4,moderate rain,-21.2078,-159.775,Paradise Inn
107,Namibe,AO,75.49,broken clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
109,Candelaria,PH,74.39,scattered clouds,13.9311,121.4233,Casa de Provincia
110,Puerto Ayora,EC,81.0,light rain,-0.7393,-90.3518,Finch Bay Galapagos Hotel
112,Gusau,NG,78.53,broken clouds,12.1628,6.6614,GUEST INN
121,Vaini,TO,82.4,few clouds,-21.2,-175.2,Keleti Beach Resort
124,Butaritari,KI,81.43,light rain,3.0707,172.7902,Isles Sunset Lodge
125,Sola,VU,80.6,overcast clouds,-13.8833,167.55,Leumerus Bungalows
127,Ranong,TH,74.77,clear sky,9.9658,98.6348,Tinidee Hotel@Ranong
128,Metro,ID,72.25,moderate rain,-5.1131,105.3067,OYO 3177 Wisma Lintang
133,Eyl,SO,75.78,scattered clouds,7.9803,49.8164,Amiin Hotel
136,Porto Novo,BJ,84.2,scattered clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
137,Itaueira,BR,74.8,broken clouds,-7.6033,-43.0256,Pousada e Restaurante Cheiro e Sabor
138,Gweta,BW,78.15,few clouds,-20.1833,25.2333,Gweta Lodge
143,Mandera,KE,77.94,clear sky,3.9366,41.867,Kornesh Hotel and Lodging
149,Manta,EC,80.6,light rain,-0.95,-80.7333,Balandra Hotel
150,Bolobo,CD,76.69,overcast clouds,-2.1667,16.2333,
151,Souillac,MU,78.8,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
152,Meulaboh,ID,75.11,clear sky,4.1363,96.1285,Kost Pria
153,Flinders,AU,75.99,broken clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
154,Iguaba Grande,BR,77.0,heavy intensity rain,-22.8392,-42.2289,Hostel Iguabella - RJ
159,Kilindoni,TZ,80.33,broken clouds,-7.9139,39.6668,Bustani B&B
160,Port Hedland,AU,84.2,broken clouds,-20.3167,118.5667,The Esplanade Hotel
166,Sembakung,ID,73.49,moderate rain,3.8167,117.25,
167,San Patricio,US,80.6,broken clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
169,Dong Xoai,VN,72.81,scattered clouds,11.5333,106.9167,Khách Sạn Bình Phước - Khách Sạn Ngọc Lan
172,Coahuayana,MX,80.6,scattered clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
180,Atambua,ID,74.39,overcast clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
184,Faanui,PF,81.88,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
186,Chachoengsao,TH,82.99,clear sky,13.6167,101.4167,บ้านเจ๊น้อยห้วยหิน
189,Cayenne,GF,81.0,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
194,Tabou,CI,78.91,overcast clouds,4.423,-7.3528,hotêl doufoulougou
196,Santa Maria,BR,73.4,few clouds,-29.6842,-53.8069,Hotel Morotin
201,Cabo San Lucas,MX,79.0,scattered clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
202,Tibati,CM,72.41,overcast clouds,6.4667,12.6333,Tibati Hotel
205,Pine Bluff,US,75.2,few clouds,34.2284,-92.0032,Holiday Inn Express & Suites Pine Bluff/Pines Mall
206,Cockburn Town,TC,73.11,overcast clouds,21.4612,-71.1419,Osprey Beach Hotel
208,Yulara,AU,73.4,overcast clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
211,Abu Dhabi,AE,73.4,clear sky,24.4667,54.3667,Ramee Garden Hotel Apartments
214,Piacabucu,BR,79.3,scattered clouds,-10.4056,-36.4344,Piaçabuçu News
217,Marawi,PH,73.99,moderate rain,7.9986,124.2928,Derogongan Residence
220,Kismayo,SO,77.36,broken clouds,-0.3582,42.5454,Agan-Hotel
221,Emerald,AU,73.99,scattered clouds,-23.5333,148.1667,The Irish Village
223,Bubaque,GW,78.28,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
224,Houma,US,75.2,broken clouds,29.5958,-90.7195,Courtyard by Marriott Houma
225,Sunland Park,US,77.0,clear sky,31.7965,-106.58,SpringHill Suites by Marriott El Paso
226,Kahului,US,78.8,light rain,20.8947,-156.47,Maui Seaside Hotel
239,Hilo,US,77.0,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
242,Salvador,SV,87.8,few clouds,13.8333,-88.9167,Chico's Ranch
243,Bairiki,KI,82.4,broken clouds,1.3292,172.9752,Tarawa Boutique Hotel
244,Dwarka,IN,73.13,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
245,Acapulco,MX,84.2,few clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
247,Trincomalee,LK,80.8,overcast clouds,8.5711,81.2335,Welcombe Hotel
251,Geraldton,AU,71.6,scattered clouds,-28.7667,114.6,Broadwater Mariner Resort
252,Imbituba,BR,75.2,scattered clouds,-28.24,-48.6703,Praia Hotel Imbituba
253,Felipe Carrillo Puerto,MX,78.98,broken clouds,19.5833,-88.05,Hotel La Ceiba
256,Gamba,GA,78.82,overcast clouds,-2.65,10.0,
257,Lazaro Cardenas,MX,80.15,clear sky,17.9583,-102.2,Hotel Quinta Antigua
260,Irece,BR,79.83,overcast clouds,-11.3042,-41.8558,RADAR INN HOTEL
261,Nandgaon,IN,74.55,clear sky,20.3167,74.65,"Girl's hostel, Nandgaon"
263,Kununurra,AU,78.8,broken clouds,-15.7667,128.7333,Hotel Kununurra
265,Arraial Do Cabo,BR,77.0,scattered clouds,-22.9661,-42.0278,Pousada Porto Praia
267,Kavieng,PG,84.0,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
268,Pandan Niog,PH,82.56,overcast clouds,6.2282,120.5631,
270,Katobu,ID,76.77,overcast clouds,-4.9408,122.5276,La Ode Husein
272,Zwedru,LR,74.26,broken clouds,6.0667,-8.1281,Elijah Worjloh
277,Liuli,TZ,77.4,moderate rain,-11.0833,34.6333,Josephs Dream Camp Site Beach
279,Biak,ID,77.79,overcast clouds,-0.9131,122.8766,Penginapan Kim
288,Morondava,MG,74.14,clear sky,-20.2833,44.2833,La Case Bambou
290,Malanville,BJ,89.31,broken clouds,11.8685,3.3899,DEVO HOTEL
291,Bengkulu,ID,74.59,scattered clouds,-3.8004,102.2655,Grage Hotel Bengkulu
294,Banda Aceh,ID,77.77,scattered clouds,5.5577,95.3222,Sulthan Hotel International
295,Alice Springs,AU,87.01,scattered clouds,-23.7,133.8833,Desert Palms Alice Springs
296,Bundaberg,AU,84.0,scattered clouds,-24.85,152.35,Takalvan Motel
297,Makakilo City,US,80.6,light rain,21.3469,-158.0858,Marriott's Ko Olina Beach Club
301,Bongandanga,CD,75.45,broken clouds,1.5,21.05,
304,Wagar,SD,73.51,clear sky,16.1525,36.2032,
305,San Borja,BO,79.9,clear sky,-14.8167,-66.85,
309,Batticaloa,LK,77.79,scattered clouds,7.7102,81.6924,Grand Star Guest House
312,Marataizes,BR,77.68,overcast clouds,-21.0433,-40.8244,Ed. Barra Shopping
314,Omboue,GA,78.78,overcast clouds,-1.5746,9.2618,Hotel Olako
316,Angoche,MZ,78.06,light rain,-16.2325,39.9086,Guest House HESADA
319,Caravelas,BR,78.04,moderate rain,-17.7125,-39.2481,Pousada dos Navegantes
325,Poum,NC,79.54,scattered clouds,-20.2333,164.0167,Gîte kajeon
327,Ambilobe,MG,72.88,clear sky,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
334,Port-Gentil,GA,80.6,light rain,-0.7193,8.7815,Fengshui Residence
339,Ixtapa,MX,78.8,scattered clouds,20.7,-105.2,Hotel Plaza Providencia
346,Vung Tau,VN,78.4,overcast clouds,10.346,107.0843,Green hotel
348,Potiskum,NG,79.14,clear sky,11.7091,11.0694,Tamir Hotel Ltd
349,Carauari,BR,74.19,overcast clouds,-4.8828,-66.8958,Hotel Fellip
350,Mareeba,AU,82.4,broken clouds,-17.0,145.4333,Trinity Plains Tourist Park
351,Alofi,NU,82.4,scattered clouds,-19.0595,-169.9187,Taloa Heights
355,Rio Brilhante,BR,74.32,clear sky,-21.8019,-54.5464,Hotel Cattani
357,Guaratinga,BR,77.0,clear sky,-16.5667,-39.5667,Hotel Caraíva
358,Simplicio Mendes,BR,77.56,scattered clouds,-7.8539,-41.9103,Fidalgo
363,Lima,PE,80.6,clear sky,-12.0432,-77.0282,Gran Hotel Bolivar Lima
364,Soc Trang,VN,77.0,clear sky,9.6033,105.98,Phu Qui Hotel
366,Samarai,PG,83.91,scattered clouds,-10.6167,150.6667,Nuli Sapi
367,Kinablangan,PH,78.1,very heavy rain,7.6947,126.5503,Danny Moreno Property
368,Gao,ML,80.65,clear sky,16.6362,1.637,
369,Maceio,BR,77.0,clear sky,-9.6658,-35.7353,Poutur Pousada
371,Acajutla,SV,89.6,scattered clouds,13.5928,-89.8275,asi es
373,Pisco,PE,77.0,broken clouds,-13.7,-76.2167,Hotel San Isidro Oficial
374,Roebourne,AU,85.55,clear sky,-20.7833,117.1333,Harding River Caravan Park
375,Namalenga,TZ,71.29,broken clouds,-10.95,39.1,
377,Axim,GH,81.37,overcast clouds,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
379,Mangai,CD,74.7,broken clouds,-4.05,19.5333,
382,Banjarmasin,ID,77.0,overcast clouds,-3.3244,114.591,Swiss-Belhotel Borneo Banjarmasin
386,Manggar,ID,76.84,overcast clouds,-2.8833,108.2667,Guest Hotel
387,Mumford,GH,81.57,overcast clouds,5.2618,-0.759,Spanish Villa
391,Tahoua,NE,79.56,broken clouds,14.8888,5.2692,Bungalows Guesthouse
392,Poya,NC,80.6,few clouds,-21.35,165.15,
393,Gizo,SB,82.6,light rain,-8.103,156.8419,Imagination Island
394,Katol,IN,75.2,haze,21.2667,78.5833,Rocks Celibration lawn
397,Nabire,ID,77.54,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
400,Inhambane,MZ,74.46,clear sky,-23.865,35.3833,Oceano
406,Guanica,PR,77.0,clear sky,17.9716,-66.908,Copamarina Beach Resort & Spa
411,Gunjur,GM,71.6,broken clouds,13.2019,-16.7339,Kuba Lodge
413,Russell,US,71.6,clear sky,32.3502,-85.1999,Macs
414,Karwar,IN,74.88,clear sky,14.8,74.1333,Netalco Connects
415,Luganville,VU,82.31,scattered clouds,-15.5333,167.1667,The Espiritu Hotel
422,Kendari,ID,76.19,overcast clouds,-3.945,122.4989,Hotel Wixel
423,Itacare,BR,80.6,scattered clouds,-14.2775,-38.9967,Ecoporan Hotel Charme Spa & Eventos
425,Santiago Del Estero,AR,85.42,clear sky,-27.7951,-64.2615,Apartamentos Castelli 90
429,Boende,CD,72.27,scattered clouds,-0.2167,20.8667,
430,San Pedro,PH,81.0,few clouds,14.35,121.0167,OYO 412 Viewfort Venue
431,Nelson Bay,AU,78.01,scattered clouds,-32.7167,152.15,Mantra Nelson Bay
438,Umm Lajj,SA,78.35,clear sky,25.0213,37.2685,Moon light Furnished Units
439,Alice Town,BS,71.96,scattered clouds,25.7167,-79.3,Bimini Big Game Club Resort & Marina
440,Pandan,PH,80.1,scattered clouds,14.0453,124.1694,Bonifacio Lodge
441,San Cristobal,VE,75.2,broken clouds,7.7669,-72.225,Posada Villaven C.A.
446,Oistins,BB,78.8,few clouds,13.0667,-59.5333,Butterfly Beach Hotel
447,Bandarbeyla,SO,76.01,scattered clouds,9.4942,50.8122,JABIR HOTEL
452,Finschhafen,PG,80.87,overcast clouds,-6.6024,147.8681,Cossam Guest House
453,Caxito,AO,82.4,scattered clouds,-8.5785,13.6643,
454,Bintulu,MY,73.4,scattered clouds,3.1667,113.0333,900 Boutique INN
455,Conceicao Do Araguaia,BR,75.47,overcast clouds,-8.2578,-49.2647,Tarumã Tropical Hotel
456,Muisne,EC,78.82,overcast clouds,0.6,-80.0333,Quinta Samay
459,Kindu,CD,70.02,light rain,-2.95,25.95,Résidence Okanda
461,Dingle,PH,75.96,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
465,Mayumba,GA,79.65,overcast clouds,-3.432,10.6554,LIKWALE LODGE
466,Malakal,SS,86.2,clear sky,9.5334,31.6605,Nile Palace Hotel
467,Antofagasta,CL,71.6,broken clouds,-23.65,-70.4,Holiday Inn Express Antofagasta
469,Fuerte Olimpo,PY,79.07,few clouds,-21.0415,-57.8738,Hospedaje DAMI
472,Nioaque,BR,75.54,clear sky,-21.1353,-55.83,Nioaque Novo Hotel
473,Lumut,MY,77.0,few clouds,4.2323,100.6298,"Marina Island Pangkor Resort & Hotel (Suites, Function Rooms and Convention Hall)"
476,Rosario,AR,86.0,clear sky,-32.9468,-60.6393,Holiday Inn Rosario
478,Kaeo,NZ,73.99,clear sky,-35.1,173.7833,Bushido Lodge
481,Biltine,TD,77.65,clear sky,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
485,Katherine,AU,78.8,broken clouds,-14.4667,132.2667,Pine Tree Motel
486,Takoradi,GH,81.14,overcast clouds,4.8845,-1.7554,Raybow International Hotel
488,Lorengau,PG,83.44,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
492,Mecca,SA,77.67,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
493,Touros,BR,78.8,few clouds,-5.1989,-35.4608,INN NEW HORIZON
494,Mogadishu,SO,77.94,clear sky,2.0371,45.3438,Olympic Hotel
496,Auki,SB,84.22,broken clouds,-8.7676,160.7034,Auki Motel
497,Mtwara,TZ,79.59,overcast clouds,-10.2667,40.1833,Til Hotels
498,Merauke,ID,78.08,broken clouds,-8.4667,140.3333,PC
499,Cienfuegos,CU,77.0,few clouds,22.1461,-80.4356,Casa Claumar B2BPay
500,Gevrai,IN,76.71,few clouds,19.2667,75.75,Jaybhaye
503,Alibag,IN,78.8,mist,18.6411,72.8792,"Radisson Blu Resort & Spa - Alibaug, India"
504,Luangwa,ZM,71.11,overcast clouds,-15.6167,30.4167,Gerasimos Safari Lodge
505,Kita,ML,80.53,clear sky,13.0349,-9.4895,Hôtel Chat Rouge
514,Karratha,AU,84.02,clear sky,-20.7377,116.8463,ibis Styles Karratha
515,Salalah,OM,71.6,clear sky,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
519,Buin,CL,77.0,clear sky,-33.7333,-70.75,Paihuen
520,Dawei,MM,72.66,few clouds,14.0833,98.2,Hotel Dawei
524,Opelousas,US,75.2,scattered clouds,30.5335,-92.0815,Holiday Inn & Suites Opelousas
525,Mana,GF,77.27,overcast clouds,5.6592,-53.7767,LE SAMANA
527,Kigoma,TZ,73.13,light rain,-4.8769,29.6267,Kigoma Hilltop Hotel
532,Sedam,IN,70.29,clear sky,17.1773,77.2824,Lakshmi Krupa
534,Elk City,US,80.6,clear sky,35.412,-99.4043,Hampton Inn & Suites Elk City
535,Kangaba,ML,81.7,clear sky,11.9333,-8.4167,Hôtel Mandé
545,Cururupu,BR,75.58,overcast clouds,-1.8283,-44.8683,Pousada Través'cia
546,Karia,NG,78.17,clear sky,11.7306,11.1629,
547,Vao,NC,77.0,scattered clouds,-22.6667,167.4833,Hotel Kou-Bugny
549,Chokwe,MZ,74.17,clear sky,-24.5333,32.9833,Complexo Sonho Real
551,Pedernales,DO,80.1,broken clouds,18.0384,-71.744,Hotel Costa Marina
552,Sarangani,PH,81.39,light rain,5.4033,125.4636,Ballistic Islet
553,Kloulklubed,PW,77.0,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
562,Pitimbu,BR,78.8,clear sky,-7.4706,-34.8086,Reserva do Abiaí
563,Abu Kamal,SY,70.7,overcast clouds,34.4506,40.9171,محطة التلفاز
566,Mwanza,TZ,70.77,broken clouds,-2.5167,32.9,Gold Crest Hotel
568,Siocon,PH,78.62,light rain,7.7061,122.1353,ABS Hotel
571,Namatanai,PG,84.51,overcast clouds,-3.6667,152.4333,Namatanai Hotel
575,Matata,NZ,71.01,overcast clouds,-37.8833,176.75,paradise cabins
577,Pontes E Lacerda,BR,74.73,overcast clouds,-15.2261,-59.3353,Hotel Bressan
579,Sitangkai,PH,81.81,light rain,4.6628,119.3928,
581,Les Cayes,HT,77.13,broken clouds,18.2,-73.75,Villa Orphee
582,Januaria,BR,72.54,moderate rain,-15.4833,-44.3667,Hotel Paraguassu
588,Isangel,VU,84.2,scattered clouds,-19.55,169.2667,Volcano Sea View Tree House
590,Oussouye,SN,78.8,clear sky,12.485,-16.5469,Auberge du Routard
591,Puri,IN,77.0,mist,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
593,Aboisso,CI,78.58,overcast clouds,5.4678,-3.2071,Residence Belle Vue
599,Popondetta,PG,83.34,broken clouds,-8.7537,148.2534,Timos Transit House
600,Luebo,CD,73.54,scattered clouds,-5.35,21.4167,
601,Hervey Bay,AU,80.6,scattered clouds,-25.2986,152.8535,Shelly Bay Resort
603,Bouake,CI,80.6,few clouds,7.6895,-5.0218,Hotel Residence Nannan
606,Ahome,MX,77.0,overcast clouds,25.9167,-109.1833,Rancho El Sauce y la Palma
607,Almeirim,BR,73.51,overcast clouds,-1.5233,-52.5817,Ricácio Hotel
608,Ndele,CF,77.49,broken clouds,8.4109,20.6473,
609,Avera,US,71.6,clear sky,33.194,-82.5271,
611,Puerto Leguizamo,CO,75.76,overcast clouds,-0.1934,-74.7819,la casona de juancho
613,Vila Velha,BR,75.2,scattered clouds,-20.3297,-40.2925,Quality Suites Vila Velha
615,Yenagoa,NG,77.25,overcast clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
616,Algodones,MX,78.8,scattered clouds,20.3888,-105.4773,
617,Providencia,MX,77.0,overcast clouds,28.7167,-111.5833,
621,Kinshasa,CD,82.4,light rain,-4.3246,15.3215,Star Hotel II
625,Goure,NE,79.41,broken clouds,13.9835,10.2704,
631,Boa Vista,BR,89.6,scattered clouds,2.8197,-60.6733,Aipana Plaza Hotel
632,Ferkessedougou,CI,86.09,overcast clouds,9.6,-5.2,Hotel Chateau
634,Sorong,ID,79.32,scattered clouds,-0.8833,131.25,The Waigo Hotel
635,Salinopolis,BR,77.63,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
640,Bahia Honda,CU,74.5,broken clouds,22.9036,-83.1592,Casa Gualberto - Deysi
643,Cairns,AU,82.4,broken clouds,-16.9167,145.7667,Mantra Trilogy Cairns
644,Paita,PE,82.4,broken clouds,-5.0892,-81.1144,Hotel Náutico de Paita
648,Kassala,SD,76.21,clear sky,15.451,36.4,Amassi Hotel Gash
652,Grand-Lahou,CI,80.06,light rain,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
653,Palauig,PH,76.98,broken clouds,15.435,119.9045,Myhousebythesea
654,Gaoua,BF,80.83,overcast clouds,10.2992,-3.2508,
661,Ugoofaaru,MV,82.96,overcast clouds,5.6667,73.0,Ungoofaaru Inn
662,Mackay,AU,79.0,broken clouds,-21.15,149.2,International Lodge Motel
663,Madras,IN,77.0,mist,13.0878,80.2785,City home
667,Kudahuvadhoo,MV,82.31,broken clouds,2.6708,72.8944,Niyama Private Islands Maldives
671,Saint-Georges,GD,80.6,broken clouds,12.0564,-61.7485,Siesta Hotel
675,Chimbote,PE,76.15,overcast clouds,-9.0853,-78.5783,Hotel Viera Chimbote
676,Araguaina,BR,75.36,overcast clouds,-7.1911,-48.2072,Hotel São Vicente
678,Bumba,CD,76.5,scattered clouds,2.1833,22.4667,Hôtel Cape Town
679,Birao,CF,82.04,clear sky,10.2849,22.7882,
680,Ratnagiri,IN,74.73,clear sky,16.9833,73.3,Hotel Landmark
681,Nuevitas,CU,71.6,scattered clouds,21.5453,-77.2644,Hotel Caonaba
682,Palasa,IN,71.87,clear sky,18.7667,84.4167,Balaji tifen & meals veg & non veg hotel
685,Itambacuri,BR,71.92,overcast clouds,-18.0311,-41.685,Pousada Bela
