City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Najran,SA,3/4/2021 6:02,17.4924,44.1277,66.2,27,0,9.24
1,Barrow,US,3/4/2021 6:00,71.2906,-156.7887,-18.4,69,1,5.75
2,Bluff,NZ,3/4/2021 6:02,-46.6,168.3333,61,47,29,8.99
3,Bakhchysaray,UA,3/4/2021 6:02,44.75,33.8667,45,52,0,3.11
4,Ushuaia,AR,3/4/2021 5:57,-54.8,-68.3,48.2,76,0,5.75
5,La Ronge,CA,3/4/2021 6:02,55.1001,-105.2842,17.6,86,100,1.14
6,Albany,US,3/4/2021 6:02,42.6001,-73.9662,36,85,83,1.01
7,San Vicente,AR,3/4/2021 6:02,-26.6167,-54.1333,65.05,100,99,3.31
8,Lagoa,PT,3/4/2021 6:02,39.05,-27.9833,59.18,86,99,20.09
9,Vaini,TO,3/4/2021 6:02,-21.2,-175.2,82.4,78,75,9.22
10,Mataura,NZ,3/4/2021 6:02,-46.1927,168.8643,61,47,58,8.99
11,Rikitea,PF,3/4/2021 6:02,-23.1203,-134.9692,80.01,82,64,9.8
12,Middelburg,ZA,3/4/2021 6:02,-25.7751,29.4648,65.62,52,8,5.55
13,Souillac,MU,3/4/2021 6:02,-20.5167,57.5167,84.2,65,40,9.22
14,Burnie,AU,3/4/2021 6:02,-41.0667,145.9167,69.01,54,58,24
15,Mandurah,AU,3/4/2021 6:02,-32.55,115.7,82.99,65,40,14.97
16,Santa Marta,CO,3/4/2021 6:02,11.2408,-74.199,80.01,74,14,16.31
17,Oistins,BB,3/4/2021 6:00,13.0667,-59.5333,77,73,75,21.85
18,Hithadhoo,MV,3/4/2021 6:02,-0.6,73.0833,82.42,71,13,10.67
19,Kabo,CF,3/4/2021 6:02,7.6994,18.629,73.11,21,61,3.91
20,Constitucion,CL,3/4/2021 6:02,-35.3333,-72.4167,63.77,60,0,5.68
21,Scarborough,GB,3/4/2021 6:00,54.2797,-0.4044,37.99,85,100,1.99
22,Fairbanks,US,3/4/2021 6:02,64.8378,-147.7164,-2,77,90,2.37
23,Hami,CN,3/4/2021 6:02,42.8,93.45,48.43,46,61,7.76
24,Hobart,AU,3/4/2021 6:02,-42.8794,147.3294,68,32,0,24.16
25,Butaritari,KI,3/4/2021 6:02,3.0707,172.7902,81.3,81,21,17.98
26,Punta Arenas,CL,3/4/2021 6:02,-53.15,-70.9167,50,76,75,8.05
27,Saldanha,ZA,3/4/2021 6:02,-33.0117,17.9442,62.6,88,17,4.61
28,Puerto Ayora,EC,3/4/2021 6:02,-0.7393,-90.3518,75,96,89,1.77
29,Myitkyina,MM,3/4/2021 6:02,25.3833,97.4,93.15,19,47,2.48
30,Beringovskiy,RU,3/4/2021 6:02,63.05,179.3167,30.04,96,100,43.8
31,Hovd,MN,3/4/2021 6:02,48.0056,91.6419,24.62,51,0,3.2
32,Puerto Del Rosario,ES,3/4/2021 6:02,28.5004,-13.8627,60.8,72,0,10.36
33,Bethel,US,3/4/2021 5:58,41.3712,-73.414,32,74,1,4.14
34,Cherskiy,RU,3/4/2021 6:02,68.75,161.3,-6.79,98,100,4.59
35,Port-Gentil,GA,3/4/2021 6:02,-0.7193,8.7815,80.6,94,75,3.44
36,Katsuura,JP,3/4/2021 6:02,35.1333,140.3,55.99,62,75,4.61
37,Thompson,CA,3/4/2021 6:00,55.7435,-97.8558,8.6,92,1,2.3
38,East London,ZA,3/4/2021 6:02,-33.0153,27.9116,69.8,88,75,6.91
39,Kyaukse,MM,3/4/2021 6:02,21.6,96.1333,96.8,20,0,9.22
40,Sawakin,SD,3/4/2021 6:00,19.1059,37.3321,72.03,64,70,12.97
41,Kodiak,US,3/4/2021 6:01,57.79,-152.4072,32,55,1,21.85
42,Busselton,AU,3/4/2021 6:03,-33.65,115.3333,78.01,62,28,5.99
43,Florianopolis,BR,3/4/2021 5:58,-27.6146,-48.5012,75.99,94,40,3.44
44,Dawlatabad,AF,3/4/2021 6:03,36.4141,64.9053,64.53,36,56,2.84
45,Bredasdorp,ZA,3/4/2021 6:03,-34.5322,20.0403,66.2,88,71,6.91
46,Yellowknife,CA,3/4/2021 6:03,62.456,-114.3525,-13,70,20,9.22
47,Henties Bay,NA,3/4/2021 6:03,-22.116,14.2845,69.93,70,5,4.97
48,Yeovil,GB,3/4/2021 6:01,50.9416,-2.6321,45,100,75,6.91
49,Victoria,HK,3/4/2021 5:58,22.2855,114.1577,66.99,88,100,1.01
50,Cape Town,ZA,3/4/2021 6:03,-33.9258,18.4232,68,88,90,13.8
51,Cabo San Lucas,MX,3/4/2021 6:00,22.8909,-109.9124,69.01,28,20,13.76
52,Asau,RO,3/4/2021 6:03,46.4333,26.4,44.01,41,7,7.23
53,Flin Flon,CA,3/4/2021 6:03,54.7682,-101.865,19.69,98,76,3.02
54,Te Anau,NZ,3/4/2021 6:03,-45.4167,167.7167,55.17,52,32,10.31
55,Leningradskiy,RU,3/4/2021 6:03,69.3833,178.4167,-10.48,86,100,31.94
56,Bowen,AU,3/4/2021 6:03,-20.0167,148.2333,82.4,69,90,21.85
57,Port Hardy,CA,3/4/2021 6:03,50.6996,-127.4199,44.6,87,90,10.36
58,Tarata,BO,3/4/2021 6:03,-17.6167,-66.0167,60.8,63,40,3.22
59,Sarakhs,IR,3/4/2021 6:03,36.5449,61.1577,55.4,50,0,11.5
60,Mar Del Plata,AR,3/4/2021 6:00,-38.0023,-57.5575,70,94,0,3.44
61,Payson,US,3/4/2021 6:03,40.0444,-111.7321,51.8,20,75,10.36
62,Provideniya,RU,3/4/2021 6:03,64.3833,-173.3,1.4,71,0,13.42
63,Atuona,PF,3/4/2021 6:02,-9.8,-139.0333,80.01,76,52,10.83
64,Longyearbyen,SJ,3/4/2021 6:03,78.2186,15.6401,3.2,72,20,12.66
65,Jiuquan,CN,3/4/2021 6:03,39.7432,98.5174,43.38,49,28,5.7
66,Shimoda,JP,3/4/2021 6:03,34.6667,138.95,55.4,67,75,10.36
67,Magadan,RU,3/4/2021 6:03,59.5667,150.8,-8.21,87,59,12.57
68,Banda Aceh,ID,3/4/2021 6:03,5.5577,95.3222,88.54,58,6,9.48
69,Verkhnyaya Inta,RU,3/4/2021 6:03,65.9811,60.3094,15.42,96,100,4.23
70,Paamiut,GL,3/4/2021 6:03,61.994,-49.6678,41.65,63,100,8.28
71,Jardim,BR,3/4/2021 6:03,-21.4803,-56.1381,71.73,96,26,3.89
72,Dunedin,NZ,3/4/2021 6:02,-45.8742,170.5036,55,84,85,1.01
73,Kpandae,GH,3/4/2021 6:03,8.4689,-0.0113,78.12,78,76,4.83
74,San-Pedro,CI,3/4/2021 6:03,4.7485,-6.6363,77.86,92,74,7.83
75,Iqaluit,CA,3/4/2021 6:03,63.7506,-68.5145,-2.2,78,90,27.63
76,Omaruru,NA,3/4/2021 6:03,-21.4333,15.9333,69.26,48,0,8.19
77,Abilene,US,3/4/2021 6:03,32.4487,-99.7331,53.6,54,1,11.5
78,Saint-Augustin,CA,3/4/2021 6:03,51.226,-58.6502,12.7,96,61,4.36
79,Moranbah,AU,3/4/2021 6:03,-22.0016,148.0466,85.93,49,96,19.1
80,Espoo,FI,3/4/2021 6:01,60.25,24.6667,28,74,0,12.66
81,Antalaha,MG,3/4/2021 6:03,-14.9003,50.2788,83.68,65,71,0.83
82,Codrington,AU,3/4/2021 6:03,-38.2667,141.9667,62.6,72,100,14.9
83,Cooma,AU,3/4/2021 6:00,-36.2333,149.1333,77,29,12,16.11
84,Manakara,MG,3/4/2021 6:03,-22.1333,48.0167,81.43,74,97,7.58
85,Lata,PT,3/4/2021 6:03,40.1629,-8.3327,55,91,100,2.48
86,Nanortalik,GL,3/4/2021 6:03,60.1432,-45.2371,38.35,76,100,22.35
87,Kaitangata,NZ,3/4/2021 6:03,-46.2817,169.8464,57.99,79,67,8.01
88,Yakeshi,CN,3/4/2021 6:03,49.2833,120.7333,10.71,86,72,18.59
89,Airai,TL,3/4/2021 6:03,-8.9266,125.4092,73.35,69,54,2.82
90,Saint-Philippe,RE,3/4/2021 6:03,-21.3585,55.7679,86,62,0,5.75
91,New Norfolk,AU,3/4/2021 6:03,-42.7826,147.0587,64.4,36,0,21.85
92,Rio Branco,BR,3/4/2021 6:04,-9.9747,-67.81,73.4,100,0,3.44
93,El Sauce,NI,3/4/2021 6:04,12.8869,-86.539,73.89,75,48,4.05
94,Esperance,AU,3/4/2021 6:04,-33.8667,121.9,66.2,94,90,12.66
95,Vanimo,PG,3/4/2021 6:04,-2.6741,141.3028,83.8,74,100,11.9
96,Zhigansk,RU,3/4/2021 6:04,66.7697,123.3711,-26.01,82,100,7.49
97,Nikolskoye,RU,3/4/2021 6:04,59.7035,30.7861,27,86,0,8.95
98,Jalalabad,AF,3/4/2021 6:04,34.4265,70.4515,72.12,20,10,3.4
99,Georgetown,MY,3/4/2021 6:04,5.4112,100.3354,89.6,62,20,6.91
100,Krasnopavlivka,UA,3/4/2021 6:04,49.1372,36.3272,34.14,79,5,16.35
101,Ribeira Grande,PT,3/4/2021 6:04,38.5167,-28.7,60.37,82,100,16.84
102,Fortuna,US,3/4/2021 6:01,40.5982,-124.1573,45,1,31,3.62
103,Quelimane,MZ,3/4/2021 6:04,-17.8786,36.8883,77,94,75,6.91
104,Lompoc,US,3/4/2021 6:04,34.6391,-120.4579,44.01,87,1,3.44
105,Korla,CN,3/4/2021 6:04,41.7597,86.1469,48.31,38,68,5.19
106,Viedma,AR,3/4/2021 6:04,-40.8135,-62.9967,69.67,87,98,10.16
107,Talnakh,RU,3/4/2021 6:04,69.4865,88.3972,-14.93,77,48,10.25
108,Biak,ID,3/4/2021 6:04,-0.9131,122.8766,80.8,67,100,3.2
109,Ola,RU,3/4/2021 6:04,59.5833,151.2833,-5.94,93,92,17.02
110,Vardo,NO,3/4/2021 6:04,70.3705,31.1107,21.2,73,40,11.5
111,Saint George,US,3/4/2021 6:04,37.1041,-113.5841,52,53,90,14.97
112,Palauig,PH,3/4/2021 6:04,15.435,119.9045,83.93,70,5,5.66
113,Geraldton,AU,3/4/2021 6:04,-28.7667,114.6,82.4,54,75,17.27
114,Oum Hadjer,TD,3/4/2021 6:04,13.2954,19.6966,71.69,20,97,11.48
115,Chisinau,MD,3/4/2021 6:00,47.0056,28.8575,32,86,10,5.75
116,Nouakchott,MR,3/4/2021 6:01,18.0858,-15.9785,69.8,24,0,12.66
117,Kondinskoye,RU,3/4/2021 6:04,59.6481,67.41,20.68,94,100,9.17
118,Boddam,GB,3/4/2021 6:04,57.4667,-1.7833,39.2,93,90,9.22
119,Kavieng,PG,3/4/2021 6:04,-2.5744,150.7967,84.36,71,65,12.03
120,Kalmunai,LK,3/4/2021 6:04,7.4167,81.8167,84.11,54,26,7.31
121,Havoysund,NO,3/4/2021 6:04,70.9963,24.6622,26.6,63,75,13.8
122,Yar-Sale,RU,3/4/2021 6:04,66.8333,70.8333,7.39,95,100,9.84
123,Clyde River,CA,3/4/2021 6:04,70.4692,-68.5914,-22,76,1,3.44
124,Huarmey,PE,3/4/2021 6:04,-10.0681,-78.1522,72.88,76,78,5.12
125,Tautira,PF,3/4/2021 6:04,-17.7333,-149.15,80.6,78,75,3.44
126,Hilo,US,3/4/2021 6:04,19.7297,-155.09,69.8,64,90,6.91
127,Vila Franca Do Campo,PT,3/4/2021 6:04,37.7167,-25.4333,60.8,94,75,16.11
128,Abha,SA,3/4/2021 6:03,18.2164,42.5053,62.6,36,0,14.97
129,Norman Wells,CA,3/4/2021 6:04,65.282,-126.8329,-25.6,75,1,4.12
130,Dali,CN,3/4/2021 6:04,25.7,100.1833,61.66,37,30,10.58
131,Torbay,CA,3/4/2021 6:04,47.6666,-52.7314,23,86,90,20.71
132,Harper,LR,3/4/2021 6:04,4.375,-7.7169,78.87,89,15,9.08
133,Kapaa,US,3/4/2021 6:04,22.0752,-159.319,71.6,73,90,21.85
134,Iquitos,PE,3/4/2021 6:00,-3.7481,-73.2472,75.2,94,40,2.01
135,Srednekolymsk,RU,3/4/2021 6:04,67.45,153.6833,-20.63,87,100,15.86
136,Pangnirtung,CA,3/4/2021 6:04,66.1451,-65.7125,11.44,86,100,2.55
137,Sao Filipe,CV,3/4/2021 6:04,14.8961,-24.4956,69.85,78,57,9.93
138,Zhigalovo,RU,3/4/2021 6:05,54.8097,105.1578,-0.02,82,26,0.4
139,Macamic,CA,3/4/2021 6:05,48.7502,-78.9996,-0.4,65,1,10.36
140,Labytnangi,RU,3/4/2021 6:05,66.6572,66.4183,4.98,93,99,11.27
141,Poum,NC,3/4/2021 6:05,-20.2333,164.0167,79.86,82,100,15.17
142,Cururupu,BR,3/4/2021 6:02,-1.8283,-44.8683,73.13,95,10,2.21
143,Evensk,RU,3/4/2021 6:05,61.95,159.2333,-10.52,80,100,12.21
144,Bremervorde,DE,3/4/2021 6:05,53.4833,9.1333,37,95,93,8.77
145,Deputatskiy,RU,3/4/2021 6:05,69.3,139.9,-22.45,95,100,6.6
146,Saskylakh,RU,3/4/2021 6:05,71.9167,114.0833,-34.1,80,42,0.98
147,Iaciara,BR,3/4/2021 6:05,-14.0958,-46.6317,66.83,87,99,1.79
148,Alofi,NU,3/4/2021 6:05,-19.0595,-169.9187,80.6,83,100,6.91
149,Mahebourg,MU,3/4/2021 6:05,-20.4081,57.7,84.2,65,40,9.22
150,Castro,BR,3/4/2021 6:05,-24.7911,-50.0119,62.89,94,100,4.63
151,Tessalit,ML,3/4/2021 6:05,20.1986,1.0114,66.22,21,95,11.3
152,Tuatapere,NZ,3/4/2021 6:05,-46.1333,167.6833,61,47,91,8.99
153,Bilibino,RU,3/4/2021 6:05,68.0546,166.4372,0.82,90,100,15.17
154,Ossora,RU,3/4/2021 6:05,59.2353,163.0719,-0.17,69,100,18.99
155,Lebu,CL,3/4/2021 6:05,-37.6167,-73.65,58.66,87,0,14.83
156,Ponta Do Sol,PT,3/4/2021 6:05,32.6667,-17.1,60.01,80,73,5.01
157,Hermanus,ZA,3/4/2021 6:01,-34.4187,19.2345,64.99,95,87,9.95
158,Pisco,PE,3/4/2021 6:05,-13.7,-76.2167,73.4,78,75,6.91
159,Uarini,BR,3/4/2021 6:05,-2.99,-65.1083,72.61,98,96,1.28
160,Mehamn,NO,3/4/2021 6:05,71.0357,27.8492,24.8,93,75,25.32
161,Vuktyl,RU,3/4/2021 6:05,63.8567,57.3094,12.11,96,99,5.14
162,Tombouctou,ML,3/4/2021 6:05,20,-3,70.9,18,99,13.94
163,Cap-Haitien,HT,3/4/2021 6:05,19.7578,-72.2042,74.16,79,15,5.99
164,Yulara,AU,3/4/2021 6:05,-25.2406,130.9889,100.4,13,26,9.22
165,Inirida,CO,3/4/2021 6:05,3.8653,-67.9239,74.62,83,21,0.78
166,Port Alfred,ZA,3/4/2021 6:05,-33.5906,26.891,72,88,94,1.99
167,Nurota,UZ,3/4/2021 6:05,40.5614,65.6886,57.2,44,32,9.22
168,Carnarvon,AU,3/4/2021 6:01,-24.8667,113.6333,80.6,65,47,11.5
169,Jamestown,US,3/4/2021 6:05,42.097,-79.2353,34,98,90,6.08
170,Bengkulu,ID,3/4/2021 6:05,-3.8004,102.2655,85.66,67,85,7.83
171,Dikson,RU,3/4/2021 6:05,73.5069,80.5464,-24.83,82,26,12.5
172,Mayumba,GA,3/4/2021 6:05,-3.432,10.6554,79.95,88,97,6.38
173,Mahon,ES,3/4/2021 6:05,39.8885,4.2658,53.6,87,40,8.05
174,Samdrup Jongkhar,BT,3/4/2021 6:05,26.9167,91.6167,75.67,24,22,5.82
175,Sayyan,YE,3/4/2021 6:05,15.1718,44.3244,60.8,31,0,6.67
176,Rocha,UY,3/4/2021 6:05,-34.4833,-54.3333,68.34,94,87,6.38
177,Tasiilaq,GL,3/4/2021 6:05,65.6145,-37.6368,33.8,80,90,9.22
178,Broken Hill,AU,3/4/2021 6:05,-31.95,141.4333,80.6,17,0,16.11
179,Long Beach,US,3/4/2021 6:05,33.767,-118.1892,51.01,81,1,4.61
180,Qaanaaq,GL,3/4/2021 6:05,77.484,-69.3632,-21.82,77,77,10.18
181,Sambava,MG,3/4/2021 6:05,-14.2667,50.1667,82.76,70,50,2.77
182,Teahupoo,PF,3/4/2021 6:05,-17.8333,-149.2667,80.6,78,75,3.44
183,Visnes,NO,3/4/2021 6:05,59.3556,5.2242,33.8,75,0,19.57
184,San Rafael,AR,3/4/2021 6:05,-34.6177,-68.3301,76.48,40,0,10.78
185,Hit,IQ,3/4/2021 6:05,33.6416,42.8251,65.48,30,10,14.81
186,Mount Vernon,US,3/4/2021 6:05,40.9126,-73.8371,44.6,53,75,6.91
187,Leninskoye,KZ,3/4/2021 6:05,41.7589,69.3864,51.8,71,20,6.91
188,Tuktoyaktuk,CA,3/4/2021 6:06,69.4541,-133.0374,-25.6,68,1,4.07
189,Nagua,DO,3/4/2021 6:06,19.3832,-69.8474,66.99,89,0,4.29
190,Sao Felix Do Xingu,BR,3/4/2021 6:06,-6.6447,-51.995,69.78,97,96,0.72
191,Nelson Bay,AU,3/4/2021 6:06,-32.7167,152.15,77,53,20,11.5
192,Wenling,CN,3/4/2021 6:06,28.3669,121.36,68,83,63,5.35
193,Sabha,LY,3/4/2021 6:06,27.0377,14.4283,52.02,50,1,20.67
194,Port Moresby,PG,3/4/2021 6:06,-9.4431,147.1797,82.4,74,90,17.27
195,Karaman,TR,3/4/2021 6:06,37.0833,33.25,28,97,3,9.42
196,Solnechnyy,RU,3/4/2021 6:06,50.7214,136.6319,28.04,79,66,4.65
197,Port Elizabeth,ZA,3/4/2021 6:01,-33.918,25.5701,68,88,20,4.61
198,Reconquista,AR,3/4/2021 6:06,-29.15,-59.65,70.03,92,66,5.53
199,Seoul,KR,3/4/2021 6:06,37.5683,126.9778,53.6,47,90,6.91
